trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
420,False,"{'a': 0.45, 'e': 0.10647417415465314}",25,15,19.40420871609807,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.45, 'e': 0.10573145747670074}",20,10,5.139428470239229,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
422,False,"{'a': 0.45, 'e': 0.10499392166131977}",20,14,9.44091437437729,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.45, 'e': 0.10426153056910778}",25,9,-22.775635663947305,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
424,False,"{'a': 0.45, 'e': 0.10353424831275475}",30,19,-30.146707388945707,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
425,False,"{'a': 0.45, 'e': 0.10281203925528451}",20,8,-3.8351324529504387,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
426,False,"{'a': 0.45, 'e': 0.10209486800830879}",25,3,34.58628902718139,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.45, 'e': 0.10138269943029299}",20,0,32.79840750918362,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.45, 'e': 0.10067549862483434}",30,6,28.51864203501451,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.45, 'e': 0.09997323093895179}",25,15,15.191565232553295,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.45, 'e': 0.09927586196138825}",20,0,27.93642609789149,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
431,False,"{'a': 0.45, 'e': 0.0985833575209243}",25,20,7.655776525924183,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.45, 'e': 0.09789568368470383}",20,8,11.201295708779186,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
433,False,"{'a': 0.45, 'e': 0.09721280675657121}",25,14,-21.69323443754344,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
434,False,"{'a': 0.45, 'e': 0.09653469327542034}",20,13,13.416796010631302,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.45, 'e': 0.095861310013555}",20,9,8.856523624841774,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.45, 'e': 0.09519262397506063}",25,18,15.474231304333145,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.45, 'e': 0.09452860239418749}",30,20,18.703740103776283,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.45, 'e': 0.0938692127337453}",25,6,29.885182423126953,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
