trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.4, 'e': 1.097999999999996}",25,0,-120.99585479572141,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
69,False,"{'a': 0.4, 'e': 1.096499999999996}",20,0,-123.6682194671688,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
70,False,"{'a': 0.4, 'e': 1.094999999999996}",20,0,-89.54476582091262,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
71,False,"{'a': 0.4, 'e': 1.093499999999996}",30,0,-97.42643617918488,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",1
72,False,"{'a': 0.4, 'e': 1.0919999999999959}",20,0,-81.40823824683346,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
73,False,"{'a': 0.4, 'e': 1.0904999999999958}",25,0,-71.38506939480354,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
74,False,"{'a': 0.4, 'e': 1.0889999999999957}",20,0,-171.40750760086632,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
75,False,"{'a': 0.4, 'e': 1.0874999999999957}",25,0,-171.08290057888524,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
76,False,"{'a': 0.4, 'e': 1.0859999999999956}",20,0,-82.97402816080991,"{0: 10, 1: 7, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.4, 'e': 1.0844999999999956}",20,0,-161.80626611621267,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
78,False,"{'a': 0.4, 'e': 1.0829999999999955}",20,0,-115.69864768848329,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
79,False,"{'a': 0.4, 'e': 1.0814999999999955}",25,0,-54.81149420244032,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
80,False,"{'a': 0.4, 'e': 1.0799999999999954}",20,0,-97.59597261236617,"{0: 8, 1: 9, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.4, 'e': 1.0784999999999954}",35,0,-192.00284207903263,"{0: 20, 1: 1, 2: 11, 3: 1, 4: 2}",0
82,False,"{'a': 0.4, 'e': 1.0769999999999953}",20,0,-76.09838200918838,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
83,False,"{'a': 0.4, 'e': 1.0754999999999952}",30,0,-135.42998334181848,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
84,False,"{'a': 0.4, 'e': 1.0739999999999952}",20,0,-130.2598069721124,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
85,False,"{'a': 0.4, 'e': 1.0724999999999951}",20,0,-58.027521657367714,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
86,False,"{'a': 0.4, 'e': 1.070999999999995}",20,10,-19.31071582482327,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
87,False,"{'a': 0.4, 'e': 1.069499999999995}",20,0,-99.82616857238155,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
88,False,"{'a': 0.4, 'e': 1.067999999999995}",25,0,-145.93355168636006,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
89,False,"{'a': 0.4, 'e': 1.066499999999995}",20,0,-94.9479174290899,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
90,False,"{'a': 0.4, 'e': 1.0649999999999948}",25,0,-101.13360556600935,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
91,False,"{'a': 0.4, 'e': 1.0634999999999948}",20,0,-150.81314156023305,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
92,False,"{'a': 0.4, 'e': 1.0619999999999947}",25,0,-112.31266284692784,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
93,False,"{'a': 0.4, 'e': 1.0604999999999947}",25,0,-119.47285363427466,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
94,False,"{'a': 0.4, 'e': 1.0589999999999946}",20,0,-223.9004538327159,"{0: 7, 1: 4, 2: 5, 3: 0, 4: 4}",0
95,False,"{'a': 0.4, 'e': 1.0574999999999946}",20,0,-173.65446084281632,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
96,False,"{'a': 0.4, 'e': 1.0559999999999945}",20,5,-104.84700384038003,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 2}",1
97,False,"{'a': 0.4, 'e': 1.0544999999999944}",25,0,-102.47268041154855,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
98,False,"{'a': 0.4, 'e': 1.0529999999999944}",20,0,-111.06482003503437,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
99,False,"{'a': 0.4, 'e': 1.0514999999999943}",25,0,-179.0594995771312,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
100,False,"{'a': 0.4, 'e': 1.0499999999999943}",20,3,-34.752779500698956,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.4, 'e': 1.0484999999999942}",30,0,-180.70338625136748,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
102,False,"{'a': 0.4, 'e': 1.0469999999999942}",25,0,-45.85094798930643,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
103,False,"{'a': 0.4, 'e': 1.045499999999994}",20,0,-34.78309891375724,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
104,False,"{'a': 0.4, 'e': 1.043999999999994}",20,6,-109.3847044634338,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
105,False,"{'a': 0.4, 'e': 1.042499999999994}",30,0,-185.9900565969193,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
106,False,"{'a': 0.4, 'e': 1.040999999999994}",25,6,15.609184349602504,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.4, 'e': 1.0394999999999939}",20,0,-172.30617792358962,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
108,False,"{'a': 0.4, 'e': 1.0379999999999938}",25,0,-207.55766291055627,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
109,False,"{'a': 0.4, 'e': 1.0364999999999938}",20,0,-97.53195609602558,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
